Case Description,Category,label
Can I sue a tenant who damaged my property and won’t pay for it?,Commercial,1
"My product is under warranty, yet the seller denied my claim.",Commercial,1
The employee was accused of misuse of funds donated to the charity.,General,2
What can I do if I’m being harassed at work? I need advice.,General,2
The care decision was based on the child’s best interest.,Personal Status,0
The case involves a disagreement between partners about shared income.,Commercial,1
"I slipped and got hurt in a public area, and I’m thinking about legal action.",General,2
What can I do if an employee misuses company funds?,Commercial,1
divorce ,Personal Status,0
The driver was warned about traffic violations for blocking the road.,General,2
I’m looking for advice on how to challenge my unfair dismissal.,Commercial,1
The court handled a commercial theft case involving stolen goods.,Commercial,1
Dispute over copyright infringement.,General,2
The partners agreed to file for business dissolution after financial losses.,Commercial,1
A dispute arose over the authenticity of the marriage certificate.,Personal Status,0
I want legal help to change my child’s school because of the divorce situation.,Personal Status,0
The wife faced custody withdrawal following repeated violations.,Personal Status,0
I’m filing a commercial case about a late delivery under a business contract.,Commercial,1
The firm demanded compensation for losses caused by brand imitation.,Commercial,1
I need help handling a customer dispute regarding a signed contract.,Commercial,1
A bankruptcy case was opened following severe financial losses.,Commercial,1
I want to report a client for nonpayment after project delivery.,Commercial,1
The account was frozen due to an unresolved bank issue.,Commercial,1
The agreement clearly defines exclusivity rights for authorized distributors.,Commercial,1
A legal claim was made over defective materials provided by the supplier.,Commercial,1
A complaint was filed regarding a property dispute in a residential area.,General,2
A property dispute started after the family could not agree on their inheritance shares.,Personal Status,0
